time,LineB2B5.P1Pu,case,parameter_value
0.0,0.4171513161369369,0p173884267,0.173884267
2.220446049250313e-16,0.417151316199395,0p173884267,0.173884267
2.220446049250313e-16,0.4171513162618531,0p173884267,0.173884267
0.005000000000000444,0.4171513373806156,0p173884267,0.173884267
0.005000000000000444,0.4171513374430736,0p173884267,0.173884267
0.01249312265331962,0.4171513691078098,0p173884267,0.173884267
0.01249312265331962,0.4171513691702678,0p173884267,0.173884267
0.01746934725378274,0.4171513901626246,0p173884267,0.173884267
0.01746934725378274,0.4171513902250827,0p173884267,0.173884267
8.385672506346355,0.4171758304474601,0p173884267,0.173884267
8.385672506346355,0.4171758305099244,0p173884267,0.173884267
8.386479356862761,0.4171758319539236,0p173884267,0.173884267
8.386479356862761,0.4171758320163878,0p173884267,0.173884267
10.0,0.4171785267385249,0p173884267,0.173884267
20.0,0.4171879485120948,0p173884267,0.173884267
30.0,0.4171921084824941,0p173884267,0.173884267
40.0,0.4171940014025524,0p173884267,0.173884267
50.0,0.4171947917613155,0p173884267,0.173884267
60.0,0.4171950143795852,0p173884267,0.173884267
61.66910969544821,0.4171949940928754,0p173884267,0.173884267
61.66910969544821,0.4171949941553444,0p173884267,0.173884267
61.67327388245513,0.4171949940177808,0p173884267,0.173884267
61.67327388245513,0.4171949939553117,0p173884267,0.173884267
70.0,0.4171948893259574,0p173884267,0.173884267
80.0,0.4171948313464767,0p173884267,0.173884267
90.0,0.4171948023553317,0p173884267,0.173884267
100.0,0.4171947996948961,0p173884267,0.173884267
100.0000000200005,0.4171947996948961,0p173884267,0.173884267
100.0000000200005,0.7790084372138999,0p173884267,0.173884267
104.4898066816798,0.7801738385682273,0p173884267,0.173884267
104.4898066816798,0.7801738387844822,0p173884267,0.173884267
110.0,0.7810847768997927,0p173884267,0.173884267
120.0,0.7818873194320841,0p173884267,0.173884267
130.0,0.7821883016568216,0p173884267,0.173884267
140.0,0.7823026289213021,0p173884267,0.173884267
150.0,0.7823456653434516,0p173884267,0.173884267
160.0,0.7823607383327355,0p173884267,0.173884267
170.0,0.7823665446758604,0p173884267,0.173884267
180.0,0.7823691224787515,0p173884267,0.173884267
190.0,0.782370154129921,0p173884267,0.173884267
200.0,0.7823707168754198,0p173884267,0.173884267
210.0,0.7823708267222637,0p173884267,0.173884267
220.0,0.7823709240393157,0p173884267,0.173884267
230.0,0.7823709696277897,0p173884267,0.173884267
240.0,0.7823710009440716,0p173884267,0.173884267
250.0,0.7823710162994864,0p173884267,0.173884267
260.0,0.7823710223051401,0p173884267,0.173884267
270.0,0.7823710283107943,0p173884267,0.173884267
280.0,0.7823710343164482,0p173884267,0.173884267
