time,BESS.terminal.V.im,case,parameter_value
0.0,6.198300000000003e-8,0p3,0.3
0.001,6.195799709284466e-8,0p3,0.3
0.002,6.18311463973931e-8,0p3,0.3
0.003,6.15832178399939e-8,0p3,0.3
0.004,6.122410642266352e-8,0p3,0.3
0.005,6.076902653909622e-8,0p3,0.3
0.006,6.023268330215045e-8,0p3,0.3
0.007,5.962764111296586e-8,0p3,0.3
0.008,5.896441561852415e-8,0p3,0.3
0.009,5.825187669903244e-8,0p3,0.3
0.01,5.749757804475915e-8,0p3,0.3
0.011,5.670802953200258e-8,0p3,0.3
0.012,5.588878156116919e-8,0p3,0.3
0.013,5.504450757955166e-8,0p3,0.3
0.014,5.417937291985859e-8,0p3,0.3
0.015,5.329680731015384e-8,0p3,0.3
0.016,5.239979049572215e-8,0p3,0.3
0.017,5.149097392190738e-8,0p3,0.3
0.018,5.057264623055595e-8,0p3,0.3
0.019,4.964666302170723e-8,0p3,0.3
0.02,4.871459044935576e-8,0p3,0.3
0.021,4.777780892835948e-8,0p3,0.3
0.022,4.68373725038519e-8,0p3,0.3
0.023,4.589443466907703e-8,0p3,0.3
0.024,4.4949632061118e-8,0p3,0.3
0.025,4.400357931475995e-8,0p3,0.3
0.026,4.30568490388578e-8,0p3,0.3
0.027,4.211003054798161e-8,0p3,0.3
0.028,4.1163811725638e-8,0p3,0.3
0.029,4.021900903912471e-8,0p3,0.3
0.03,3.927655722283515e-8,0p3,0.3
0.031,3.833748953151996e-8,0p3,0.3
0.032,3.740305033465603e-8,0p3,0.3
0.033,3.647417167723545e-8,0p3,0.3
0.034,3.555221279987185e-8,0p3,0.3
0.035,3.463838877395071e-8,0p3,0.3
0.036,3.373387616199519e-8,0p3,0.3
0.037,3.283991584362773e-8,0p3,0.3
0.038,3.195770023751045e-8,0p3,0.3
0.039,3.108836729665568e-8,0p3,0.3
0.04,3.023310815575306e-8,0p3,0.3
0.041,2.939295925943825e-8,0p3,0.3
0.042,2.856898756251048e-8,0p3,0.3
0.043,2.776219449390362e-8,0p3,0.3
0.044,2.697348062562079e-8,0p3,0.3
0.045,2.620378344814417e-8,0p3,0.3
0.046,2.545387529824563e-8,0p3,0.3
0.047,2.47245222171908e-8,0p3,0.3
0.048,2.402032088478982e-8,0p3,0.3
0.049,2.337743673458579e-8,0p3,0.3
0.05,2.281954496445477e-8,0p3,0.3
0.051,2.235195502278129e-8,0p3,0.3
0.052,2.197350555925795e-8,0p3,0.3
0.053,2.168019552605555e-8,0p3,0.3
0.054,2.146692158170635e-8,0p3,0.3
0.055,2.132818715282319e-8,0p3,0.3
0.056,2.125818226423512e-8,0p3,0.3
0.057,2.125136531500164e-8,0p3,0.3
0.058,2.130226545185386e-8,0p3,0.3
0.059,2.140467542606775e-8,0p3,0.3
0.06,2.155310729205809e-8,0p3,0.3
0.061,2.174217218142342e-8,0p3,0.3
0.062,2.196685962106434e-8,0p3,0.3
