time,BESS.terminal.V.im,case,parameter_value
0.0,6.198300000000003e-8,0p5,0.5
0.001,6.194066491200122e-8,0p5,0.5
0.002,6.172450904700786e-8,0p5,0.5
0.003,6.130050748052149e-8,0p5,0.5
0.004,6.068766941712615e-8,0p5,0.5
0.005,5.991570285123171e-8,0p5,0.5
0.006,5.901238559038835e-8,0p5,0.5
0.007,5.800167422203993e-8,0p5,0.5
0.008,5.690514475984274e-8,0p5,0.5
0.009,5.573688773376088e-8,0p5,0.5
0.01,5.451272434055847e-8,0p5,0.5
0.011,5.324522450268358e-8,0p5,0.5
0.012,5.194500450044671e-8,0p5,0.5
0.013,5.062107087845347e-8,0p5,0.5
0.014,4.928114856505912e-8,0p5,0.5
0.015,4.793175300249917e-8,0p5,0.5
0.016,4.657837338147227e-8,0p5,0.5
0.017,4.522552750463918e-8,0p5,0.5
0.018,4.387658853773307e-8,0p5,0.5
0.019,4.253520846093183e-8,0p5,0.5
0.02,4.120391266963783e-8,0p5,0.5
0.021,3.98848871263665e-8,0p5,0.5
0.022,3.857956315516607e-8,0p5,0.5
0.023,3.728932181546545e-8,0p5,0.5
0.024,3.601511036470345e-8,0p5,0.5
0.025,3.475758563117926e-8,0p5,0.5
0.026,3.351702780806676e-8,0p5,0.5
0.027,3.229371935328084e-8,0p5,0.5
0.028,3.108775217443386e-8,0p5,0.5
0.029,2.98990517204706e-8,0p5,0.5
0.03,2.872733722218111e-8,0p5,0.5
0.031,2.75723409952024e-8,0p5,0.5
0.032,2.643374721588964e-8,0p5,0.5
0.033,2.531130901800998e-8,0p5,0.5
0.034,2.420445678776303e-8,0p5,0.5
0.035,2.311272768109114e-8,0p5,0.5
0.036,2.203585572329758e-8,0p5,0.5
0.037,2.097376110494485e-8,0p5,0.5
0.038,1.992667002495437e-8,0p5,0.5
0.039,1.889483704210897e-8,0p5,0.5
0.04,1.787864160704576e-8,0p5,0.5
0.041,1.687856292306336e-8,0p5,0.5
0.042,1.589516261301849e-8,0p5,0.5
0.043,1.492906651408753e-8,0p5,0.5
0.044,1.398096081088623e-8,0p5,0.5
0.045,1.305154615150823e-8,0p5,0.5
0.046,1.21415421831387e-8,0p5,0.5
0.047,1.12516779018567e-8,0p5,0.5
0.048,1.038267877249884e-8,0p5,0.5
0.049,9.53525807922383e-9,0p5,0.5
0.05,8.710109552961309e-9,0p5,0.5
0.051,7.907901138215824e-9,0p5,0.5
0.052,7.129269773578089e-9,0p5,0.5
0.053,6.374817072030261e-9,0p5,0.5
0.054,5.645105798212812e-9,0p5,0.5
0.055,4.940657050106596e-9,0p5,0.5
0.056,4.26195560976585e-9,0p5,0.5
0.057,3.609431552548008e-9,0p5,0.5
0.058,2.983462735681917e-9,0p5,0.5
0.059,2.384386010285836e-9,0p5,0.5
0.06,1.812490446114888e-9,0p5,0.5
0.061,1.268017281755883e-9,0p5,0.5
0.062,7.511601529968012e-10,0p5,0.5
0.063,2.620655629203872e-10,0p5,0.5
0.064,-1.792978680457022e-10,0p5,0.5
0.065,-4.753457177102282e-10,0p5,0.5
0.066,-5.826419710929532e-10,0p5,0.5
0.067,-4.994105880295988e-10,0p5,0.5
0.068,-2.40227590804809e-10,0p5,0.5
0.069,1.734107746623706e-10,0p5,0.5
0.07,7.171518609172469e-10,0p5,0.5
0.071,1.365673105041494e-9,0p5,0.5
0.072,2.093837069837612e-9,0p5,0.5
0.073,2.878536425754714e-9,0p5,0.5
0.074,3.698455854649762e-9,0p5,0.5
0.075,4.534605043997429e-9,0p5,0.5
0.076,5.370936143248048e-9,0p5,0.5
0.077,6.193756717827666e-9,0p5,0.5
0.078,6.991104504951913e-9,0p5,0.5
0.079,7.755027619094112e-9,0p5,0.5
0.08,8.478847168242745e-9,0p5,0.5
0.081,9.158317773543583e-9,0p5,0.5
0.082,9.79013725155502e-9,0p5,0.5
0.083,1.037192022002356e-8,0p5,0.5
0.084,1.090285159362511e-8,0p5,0.5
0.085,1.13826964443919e-8,0p5,0.5
0.086,1.181179663906774e-8,0p5,0.5
0.087,1.219107361918886e-8,0p5,0.5
0.088,1.252175154802263e-8,0p5,0.5
0.089,1.280530024152565e-8,0p5,0.5
0.09,1.304314494337545e-8,0p5,0.5
0.091,1.32371204264964e-8,0p5,0.5
0.092,1.33889654627644e-8,0p5,0.5
0.093,1.350026930488709e-8,0p5,0.5
0.094,1.357239360195088e-8,0p5,0.5
0.095,1.360615019405773e-8,0p5,0.5
0.096,1.360206973587219e-8,0p5,0.5
0.097,1.356068341117849e-8,0p5,0.5
0.098,1.348229018184213e-8,0p5,0.5
0.099,1.336701157226884e-8,0p5,0.5
0.1,1.321516930828303e-8,0p5,0.5
0.101,1.302709496980373e-8,0p5,0.5
0.102,1.280342396692561e-8,0p5,0.5
0.103,1.254516809726254e-8,0p5,0.5
0.104,1.225587638634125e-8,0p5,0.5
0.105,1.195325986406861e-8,0p5,0.5
0.106,1.165193642270619e-8,0p5,0.5
0.107,1.135582050604202e-8,0p5,0.5
0.108,1.106563194907833e-8,0p5,0.5
0.109,1.078050437990528e-8,0p5,0.5
0.11,1.049969679755273e-8,0p5,0.5
0.111,1.022247327791876e-8,0p5,0.5
