time,BESS.terminal.V.im,case,parameter_value
0.0,6.198300000000003e-8,0p1,0.1
0.001,6.198299999999997e-8,0p1,0.1
0.002,6.198299999999982e-8,0p1,0.1
0.003,6.198299999999974e-8,0p1,0.1
0.004,6.198299999999968e-8,0p1,0.1
0.005,6.198299999999968e-8,0p1,0.1
0.006,6.198299999999972e-8,0p1,0.1
0.007,6.198299999999973e-8,0p1,0.1
0.008,6.198299999999974e-8,0p1,0.1
0.009,6.198299999999976e-8,0p1,0.1
0.01,6.198299999999977e-8,0p1,0.1
0.011,6.198299999999977e-8,0p1,0.1
0.012,6.19829999999998e-8,0p1,0.1
0.013,6.19829999999998e-8,0p1,0.1
0.014,6.198299999999981e-8,0p1,0.1
0.015,6.198299999999981e-8,0p1,0.1
0.016,6.198299999999981e-8,0p1,0.1
0.017,6.198299999999982e-8,0p1,0.1
0.018,6.198299999999981e-8,0p1,0.1
0.019,6.198299999999982e-8,0p1,0.1
0.02,6.198299999999985e-8,0p1,0.1
0.021,6.198299999999985e-8,0p1,0.1
0.022,6.198299999999985e-8,0p1,0.1
0.023,6.198299999999985e-8,0p1,0.1
0.024,6.198299999999985e-8,0p1,0.1
0.025,6.198299999999985e-8,0p1,0.1
0.026,6.198299999999985e-8,0p1,0.1
0.027,6.198299999999985e-8,0p1,0.1
0.028,6.198299999999985e-8,0p1,0.1
0.029,6.198299999999985e-8,0p1,0.1
0.03,6.198299999999987e-8,0p1,0.1
0.031,6.198299999999987e-8,0p1,0.1
0.032,6.198299999999987e-8,0p1,0.1
0.033,6.198299999999987e-8,0p1,0.1
0.034,6.198299999999987e-8,0p1,0.1
0.035,6.198299999999987e-8,0p1,0.1
0.036,6.198299999999987e-8,0p1,0.1
0.037,6.198299999999987e-8,0p1,0.1
0.038,6.198299999999987e-8,0p1,0.1
0.039,6.19829999999999e-8,0p1,0.1
0.04,6.19829999999999e-8,0p1,0.1
0.041,6.19829999999999e-8,0p1,0.1
0.042,6.19829999999999e-8,0p1,0.1
0.043,6.198299999999993e-8,0p1,0.1
0.044,6.198299999999991e-8,0p1,0.1
0.045,6.198299999999991e-8,0p1,0.1
0.046,6.198299999999991e-8,0p1,0.1
0.047,6.198299999999991e-8,0p1,0.1
0.048,6.198299999999991e-8,0p1,0.1
0.049,6.198299999999991e-8,0p1,0.1
0.05,6.198299999999991e-8,0p1,0.1
0.051,6.198299999999991e-8,0p1,0.1
0.052,6.198299999999991e-8,0p1,0.1
0.053,6.198299999999991e-8,0p1,0.1
0.054,6.198299999999991e-8,0p1,0.1
0.055,6.198299999999991e-8,0p1,0.1
0.056,6.198299999999991e-8,0p1,0.1
0.057,6.198299999999991e-8,0p1,0.1
0.058,6.198299999999991e-8,0p1,0.1
0.059,6.198299999999991e-8,0p1,0.1
0.06,6.198299999999991e-8,0p1,0.1
0.061,6.198299999999993e-8,0p1,0.1
0.062,6.198299999999993e-8,0p1,0.1
0.063,6.198299999999993e-8,0p1,0.1
0.064,6.198299999999993e-8,0p1,0.1
0.065,6.198299999999993e-8,0p1,0.1
0.066,6.198299999999993e-8,0p1,0.1
0.067,6.198299999999993e-8,0p1,0.1
0.068,6.198299999999993e-8,0p1,0.1
0.069,6.198299999999995e-8,0p1,0.1
0.07,6.198299999999995e-8,0p1,0.1
0.071,6.198299999999995e-8,0p1,0.1
0.072,6.198299999999995e-8,0p1,0.1
0.073,6.198299999999995e-8,0p1,0.1
0.074,6.198299999999995e-8,0p1,0.1
0.075,6.198299999999995e-8,0p1,0.1
0.076,6.198299999999995e-8,0p1,0.1
0.077,6.198299999999995e-8,0p1,0.1
0.078,6.198299999999997e-8,0p1,0.1
0.079,6.198299999999997e-8,0p1,0.1
0.08,6.198299999999997e-8,0p1,0.1
0.081,6.198299999999997e-8,0p1,0.1
0.082,6.198299999999997e-8,0p1,0.1
0.083,6.198299999999997e-8,0p1,0.1
0.084,6.198299999999997e-8,0p1,0.1
0.085,6.198299999999997e-8,0p1,0.1
0.086,6.198299999999997e-8,0p1,0.1
0.087,6.198299999999997e-8,0p1,0.1
0.088,6.198299999999997e-8,0p1,0.1
0.089,6.198299999999997e-8,0p1,0.1
0.09,6.198299999999997e-8,0p1,0.1
0.091,6.198299999999997e-8,0p1,0.1
0.092,6.198299999999997e-8,0p1,0.1
0.093,6.198299999999997e-8,0p1,0.1
0.094,6.198299999999997e-8,0p1,0.1
0.095,6.198299999999997e-8,0p1,0.1
0.096,6.198299999999997e-8,0p1,0.1
0.097,6.198299999999997e-8,0p1,0.1
0.098,6.198299999999997e-8,0p1,0.1
0.099,6.198299999999997e-8,0p1,0.1
0.1,6.198299999999997e-8,0p1,0.1
0.101,6.198299999999997e-8,0p1,0.1
0.102,6.198299999999997e-8,0p1,0.1
0.103,6.198299999999997e-8,0p1,0.1
0.104,6.198299999999997e-8,0p1,0.1
0.105,6.198299999999997e-8,0p1,0.1
0.106,6.198299999999999e-8,0p1,0.1
0.107,6.198299999999998e-8,0p1,0.1
0.108,6.198299999999998e-8,0p1,0.1
0.109,6.198299999999998e-8,0p1,0.1
0.11,6.198299999999998e-8,0p1,0.1
0.111,6.198299999999998e-8,0p1,0.1
0.112,6.198299999999998e-8,0p1,0.1
0.113,6.198299999999998e-8,0p1,0.1
0.114,6.198299999999998e-8,0p1,0.1
0.115,6.198299999999998e-8,0p1,0.1
0.116,6.198299999999998e-8,0p1,0.1
0.117,6.198299999999998e-8,0p1,0.1
0.118,6.198299999999998e-8,0p1,0.1
0.119,6.198299999999998e-8,0p1,0.1
0.12,6.198299999999998e-8,0p1,0.1
0.121,6.198299999999998e-8,0p1,0.1
0.122,6.198299999999998e-8,0p1,0.1
0.123,6.198299999999998e-8,0p1,0.1
0.124,6.198299999999998e-8,0p1,0.1
0.125,6.198299999999998e-8,0p1,0.1
0.126,6.198299999999998e-8,0p1,0.1
0.127,6.198299999999998e-8,0p1,0.1
0.128,6.198299999999998e-8,0p1,0.1
0.129,6.198299999999998e-8,0p1,0.1
0.13,6.198299999999998e-8,0p1,0.1
