time,BESS.terminal.V.re,case,UEvtPu
0.0,1.000000000000002,0p85,0.85
0.001,0.9999999999999969,0p85,0.85
0.002,0.9999999999999948,0p85,0.85
0.003,0.9999999999999939,0p85,0.85
0.004,0.9999999999999932,0p85,0.85
0.005,0.9999999999999932,0p85,0.85
0.006,0.9999999999999934,0p85,0.85
0.007,0.9999999999999936,0p85,0.85
0.008,0.9999999999999936,0p85,0.85
0.009,0.9999999999999937,0p85,0.85
0.01,0.9999999999999939,0p85,0.85
0.011,0.999999999999994,0p85,0.85
0.012,0.999999999999994,0p85,0.85
0.013,0.999999999999994,0p85,0.85
0.014,0.999999999999994,0p85,0.85
0.015,0.999999999999994,0p85,0.85
0.016,0.999999999999994,0p85,0.85
0.017,0.999999999999994,0p85,0.85
0.018,0.999999999999994,0p85,0.85
0.019,0.999999999999994,0p85,0.85
0.02,0.999999999999994,0p85,0.85
0.021,0.999999999999994,0p85,0.85
0.022,0.999999999999994,0p85,0.85
0.023,0.999999999999994,0p85,0.85
0.024,0.999999999999994,0p85,0.85
0.025,0.999999999999994,0p85,0.85
0.026,0.999999999999994,0p85,0.85
0.027,0.999999999999994,0p85,0.85
0.028,0.999999999999994,0p85,0.85
0.029,0.999999999999994,0p85,0.85
0.03,0.999999999999994,0p85,0.85
0.031,0.999999999999994,0p85,0.85
0.032,0.999999999999994,0p85,0.85
0.033,0.999999999999994,0p85,0.85
0.034,0.999999999999994,0p85,0.85
0.035,0.999999999999994,0p85,0.85
0.036,0.999999999999994,0p85,0.85
0.037,0.999999999999994,0p85,0.85
0.038,0.999999999999994,0p85,0.85
0.039,0.999999999999994,0p85,0.85
0.04,0.999999999999994,0p85,0.85
0.041,0.999999999999994,0p85,0.85
0.042,0.999999999999994,0p85,0.85
0.043,0.999999999999994,0p85,0.85
0.044,0.9999999999999941,0p85,0.85
0.045,0.9999999999999941,0p85,0.85
0.046,0.9999999999999941,0p85,0.85
0.047,0.9999999999999941,0p85,0.85
0.048,0.9999999999999941,0p85,0.85
0.049,0.9999999999999941,0p85,0.85
0.05,0.9999999999999941,0p85,0.85
0.051,0.9999999999999941,0p85,0.85
0.052,0.9999999999999941,0p85,0.85
0.053,0.9999999999999941,0p85,0.85
0.054,0.9999999999999941,0p85,0.85
0.055,0.9999999999999941,0p85,0.85
0.056,0.9999999999999941,0p85,0.85
0.057,0.9999999999999941,0p85,0.85
0.058,0.9999999999999941,0p85,0.85
0.059,0.9999999999999941,0p85,0.85
0.06,0.9999999999999941,0p85,0.85
0.061,0.9999999999999941,0p85,0.85
0.062,0.9999999999999941,0p85,0.85
0.063,0.9999999999999941,0p85,0.85
0.064,0.9999999999999941,0p85,0.85
0.065,0.9999999999999941,0p85,0.85
0.066,0.9999999999999941,0p85,0.85
0.067,0.9999999999999941,0p85,0.85
0.068,0.9999999999999941,0p85,0.85
0.069,0.9999999999999941,0p85,0.85
0.07,0.9999999999999941,0p85,0.85
0.071,0.9999999999999941,0p85,0.85
0.072,0.9999999999999941,0p85,0.85
0.073,0.9999999999999941,0p85,0.85
0.074,0.9999999999999941,0p85,0.85
0.075,0.9999999999999941,0p85,0.85
0.076,0.9999999999999941,0p85,0.85
0.077,0.9999999999999941,0p85,0.85
0.078,0.9999999999999941,0p85,0.85
0.079,0.9999999999999941,0p85,0.85
0.08,0.9999999999999941,0p85,0.85
0.081,0.9999999999999941,0p85,0.85
0.082,0.9999999999999941,0p85,0.85
0.083,0.9999999999999941,0p85,0.85
0.084,0.9999999999999941,0p85,0.85
0.085,0.9999999999999941,0p85,0.85
0.086,0.9999999999999941,0p85,0.85
0.087,0.9999999999999941,0p85,0.85
0.088,0.9999999999999941,0p85,0.85
0.089,0.9999999999999941,0p85,0.85
0.09,0.9999999999999941,0p85,0.85
0.091,0.9999999999999941,0p85,0.85
0.092,0.9999999999999941,0p85,0.85
0.093,0.9999999999999941,0p85,0.85
0.094,0.9999999999999941,0p85,0.85
0.095,0.9999999999999941,0p85,0.85
0.096,0.9999999999999941,0p85,0.85
0.097,0.9999999999999941,0p85,0.85
0.098,0.9999999999999941,0p85,0.85
0.099,0.9999999999999941,0p85,0.85
0.1,0.9999999999999941,0p85,0.85
0.101,0.9999999999999941,0p85,0.85
0.102,0.9999999999999941,0p85,0.85
0.103,0.9999999999999941,0p85,0.85
0.104,0.9999999999999941,0p85,0.85
0.105,0.9999999999999941,0p85,0.85
0.106,0.9999999999999941,0p85,0.85
0.107,0.9999999999999941,0p85,0.85
0.108,0.9999999999999941,0p85,0.85
0.109,0.9999999999999941,0p85,0.85
0.11,0.9999999999999941,0p85,0.85
0.111,0.9999999999999941,0p85,0.85
0.112,0.9999999999999941,0p85,0.85
0.113,0.9999999999999941,0p85,0.85
0.114,0.9999999999999941,0p85,0.85
0.115,0.9999999999999941,0p85,0.85
0.116,0.9999999999999941,0p85,0.85
0.117,0.9999999999999941,0p85,0.85
0.118,0.9999999999999941,0p85,0.85
0.119,0.9999999999999941,0p85,0.85
0.12,0.9999999999999941,0p85,0.85
0.121,0.9999999999999941,0p85,0.85
0.122,0.9999999999999941,0p85,0.85
0.123,0.9999999999999941,0p85,0.85
0.124,0.9999999999999941,0p85,0.85
0.125,0.9999999999999941,0p85,0.85
0.126,0.9999999999999941,0p85,0.85
0.127,0.9999999999999941,0p85,0.85
0.128,0.9999999999999941,0p85,0.85
0.129,0.9999999999999941,0p85,0.85
0.13,0.9999999999999941,0p85,0.85
0.131,0.9999999999999941,0p85,0.85
0.132,0.9999999999999941,0p85,0.85
0.133,0.9999999999999941,0p85,0.85
0.134,0.9999999999999941,0p85,0.85
0.135,0.9999999999999941,0p85,0.85
0.136,0.9999999999999941,0p85,0.85
0.137,0.9999999999999941,0p85,0.85
0.138,0.9999999999999941,0p85,0.85
0.139,0.9999999999999941,0p85,0.85
0.14,0.9999999999999941,0p85,0.85
0.141,0.9999999999999941,0p85,0.85
0.142,0.9999999999999941,0p85,0.85
0.143,0.9999999999999941,0p85,0.85
0.144,0.9999999999999941,0p85,0.85
0.145,0.9999999999999941,0p85,0.85
0.146,0.9999999999999941,0p85,0.85
0.147,0.9999999999999941,0p85,0.85
0.148,0.9999999999999941,0p85,0.85
0.149,0.9999999999999941,0p85,0.85
0.15,0.9999999999999941,0p85,0.85
0.151,0.9999999999999941,0p85,0.85
0.152,0.9999999999999941,0p85,0.85
0.153,0.9999999999999941,0p85,0.85
0.154,0.9999999999999941,0p85,0.85
0.155,0.9999999999999941,0p85,0.85
0.156,0.9999999999999941,0p85,0.85
0.157,0.9999999999999941,0p85,0.85
0.158,0.9999999999999941,0p85,0.85
0.159,0.9999999999999941,0p85,0.85
0.16,0.9999999999999941,0p85,0.85
0.161,0.9999999999999941,0p85,0.85
0.162,0.9999999999999941,0p85,0.85
0.163,0.9999999999999941,0p85,0.85
0.164,0.9999999999999941,0p85,0.85
0.165,0.9999999999999941,0p85,0.85
0.166,0.9999999999999941,0p85,0.85
0.167,0.9999999999999941,0p85,0.85
0.168,0.9999999999999941,0p85,0.85
0.169,0.9999999999999941,0p85,0.85
0.17,0.9999999999999941,0p85,0.85
0.171,0.9999999999999941,0p85,0.85
0.172,0.9999999999999941,0p85,0.85
0.173,0.9999999999999941,0p85,0.85
0.174,0.9999999999999941,0p85,0.85
0.175,0.9999999999999941,0p85,0.85
0.176,0.9999999999999941,0p85,0.85
0.177,0.9999999999999941,0p85,0.85
0.178,0.9999999999999941,0p85,0.85
0.179,0.9999999999999941,0p85,0.85
0.18,0.9999999999999941,0p85,0.85
0.181,0.9999999999999941,0p85,0.85
0.182,0.9999999999999941,0p85,0.85
0.183,0.9999999999999941,0p85,0.85
0.184,0.9999999999999941,0p85,0.85
0.185,0.9999999999999941,0p85,0.85
0.186,0.9999999999999941,0p85,0.85
0.187,0.9999999999999941,0p85,0.85
0.188,0.9999999999999941,0p85,0.85
0.189,0.9999999999999941,0p85,0.85
0.19,0.9999999999999941,0p85,0.85
0.191,0.9999999999999941,0p85,0.85
0.192,0.9999999999999941,0p85,0.85
0.193,0.9999999999999941,0p85,0.85
0.194,0.9999999999999941,0p85,0.85
0.195,0.9999999999999941,0p85,0.85
0.196,0.9999999999999941,0p85,0.85
0.197,0.9999999999999941,0p85,0.85
0.198,0.9999999999999941,0p85,0.85
0.199,0.9999999999999941,0p85,0.85
0.2,0.9999999999999941,0p85,0.85
0.201,0.9999999999999941,0p85,0.85
0.202,0.9999999999999941,0p85,0.85
0.203,0.9999999999999941,0p85,0.85
0.204,0.9999999999999941,0p85,0.85
0.205,0.9999999999999941,0p85,0.85
